;"ecs-morecomplexupdate";"entt-morecomplexupdate";"ginseng-morecomplexupdate";"entityx1-morecomplexupdate";"entityx2-morecomplexupdate";"entt-group-morecomplexupdate";"enttlegacy-morecomplexupdate";"entt-runtime-morecomplexupdate"
"10";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"25";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"50";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"100";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"400";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"800";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"1600";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"3200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"5000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"10000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"30000";0.002s;0.000s;0.000s;0.001s;0.000s;0.000s;0.000s;0.000s
"100000";0.007s;0.000s;0.001s;0.003s;0.001s;0.000s;0.000s;0.001s
"500000";0.037s;0.003s;0.004s;0.017s;0.010s;0.003s;0.003s;0.006s
"1000000";0.076s;0.006s;0.008s;0.034s;0.020s;0.005s;0.006s;0.013s
"2000000";0.151s;0.013s;0.017s;0.069s;0.039s;0.011s;0.014s;0.027s
"5000000";0.404s;0.030s;0.039s;0.188s;0.101s;0.028s;0.036s;0.072s
"10000000";0.787s;0.063s;0.080s;0.366s;0.194s;0.059s;0.076s;0.155s
"20000000";1.527s;0.125s;0.156s;0.749s;0.390s;0.130s;0.155s;0.286s